Build started: 2026-04-13 14:51:08 UTC
geoip.dat size: 38665612 bytes
Text files: 267
---
  tag=MX                   inserted=7346 skipped=0
  tag=MY                   inserted=4736 skipped=0
  tag=MZ                   inserted=346 skipped=0
  tag=NA                   inserted=360 skipped=0
  tag=NC                   inserted=215 skipped=0
  tag=NE                   inserted=215 skipped=0
  tag=NF                   inserted=119 skipped=0
  tag=NG                   inserted=1712 skipped=0
  tag=NI                   inserted=344 skipped=0
  tag=NL                   inserted=170849 skipped=0
  tag=NO                   inserted=5008 skipped=0
  tag=NP                   inserted=811 skipped=0
  tag=NR                   inserted=142 skipped=0
  tag=NU                   inserted=117 skipped=0
  tag=NZ                   inserted=4665 skipped=0
  tag=OM                   inserted=581 skipped=0
  tag=PA                   inserted=1160 skipped=0
  tag=PE                   inserted=2315 skipped=0
  tag=PF                   inserted=285 skipped=0
  tag=PG                   inserted=434 skipped=0
  tag=PH                   inserted=3805 skipped=0
  tag=PK                   inserted=2179 skipped=0
  tag=PL                   inserted=17762 skipped=0
  tag=PM                   inserted=144 skipped=0
  tag=PN                   inserted=54 skipped=0
  tag=PR                   inserted=1918 skipped=0
  tag=PS                   inserted=662 skipped=0
  tag=PT                   inserted=3394 skipped=0
  tag=PW                   inserted=163 skipped=0
  tag=PY                   inserted=749 skipped=0
  tag=QA                   inserted=1474 skipped=0
  tag=RE                   inserted=378 skipped=0
  tag=RO                   inserted=5733 skipped=0
  tag=RS                   inserted=1711 skipped=0
  tag=RU                   inserted=26603 skipped=0
  tag=RW                   inserted=256 skipped=0
  tag=SA                   inserted=3565 skipped=0
  tag=SB                   inserted=157 skipped=0
  tag=SC                   inserted=5566 skipped=0
  tag=SD                   inserted=224 skipped=0
  tag=SE                   inserted=14203 skipped=0
  tag=SG                   inserted=22143 skipped=0
  tag=SH                   inserted=70 skipped=0
  tag=SI                   inserted=1665 skipped=0
  tag=SJ                   inserted=73 skipped=0
  tag=SK                   inserted=2040 skipped=0
